user_id	TWEET	LABEL
100356419	RT @MIQUELLARA:  La fiscalía afinaría  Coronel Pérez de los Cobos.🤔 Fairy Millo #judici1O  #JudiciDeLaVergonya  #JudiciTV3CatRàdio  https:/…	FAVOR
100356419	Poco llevamos oído, pero tengo la sensación de que los #PresosPoliticos catalanes han tenido más tiempo que fiscales, abogadas etc para preparase. Lamento en el alma más honda la cárcel que han sufrido, pero ninguna duda de que su inteligencia y fortaleza siguen intactas.	FAVOR
100356419	IMPRESSIONANT La repassada de @jorditurull al fiscal!  Llevo 1 año en prisión por un auto, cuando el estado no ha cumplido una sola resolucion del TC. Ser constiticionalista es un chollo. Se saltan la ley cuando les da la gana  ???????? #JoAcuso #judici1O	FAVOR
100356419	El sabe que han ganado.  Debe ser jodido, saber que has de llegar a ese punto para conseguir tu objetivo, todo y pasar por mil vejaciones y ver momentos de debilidad entre los que no entienden.  @jcuixart  #grandecuixart #Judici1O #JudiciAlaDemocràcia #JoAcuso https://t.co/9Df1OEho1C	FAVOR
100356419	Un juicio que enfrenta, a un estado con un supremo, con dificultad para mostrar documentos con agilidad, vs un pueblo capaz de organizar un 1-O. #SocUnaMuralla  #JoAcuso	FAVOR
100356419	Ahora que ya sabemos lo que es un golpe de estado deberíamos actualizar los libros de historia:   ¡Se sienten, coño! Tengo más Fairy que todo Villarriba   #Fairy #Millo #23F #judiciproces #JudiciFarsa #JuidiciFairy #Llibertatpresospolitics https://t.co/9D2K04g7ta	FAVOR
100356419	@elespanolcom @CusCusBcn @InesArrimadas @DanielRamirez99  El referéndum no ha existido  M. Rajoy @marianorajoy  La República no existe  Inés Arrimadas @InesArrimadas  La voluntad de un pueblo no existirá  Sueño húmedo de Ñ. @carmencalvo_	FAVOR
100356419	- Sabe si se declararon contrarios a la independencia? + Pues no creo porque todos ellos fueron a votar. - eh? ???? + Que no creo, porque todos ellos.. ???? Se prohíben las risas.	FAVOR
100356419	#RelatorARV Cintora, los indepes no estamos para postureo, con nuestra gente en la cárcel y el exilio. Torpe.	FAVOR
100356419	El referéndum no fue ilegal, no hay ley que lo diga.  La policía cumplía un mandato judicial y lo hizo con exceso de fuerza y saña en algunos casos.  La gente utilizó su derecho de protesta y defendió su derecho a voto.  #LlibertatPresosPolítics #JudiciFarsa	FAVOR
